TEAM 1,TEAM 2,DIVISION,DATE,TIME,COURT,REF
P-06,P-02,POWER,Sep 11 26,7:00 PM,2,7
P-02,P-07,POWER,Sep 11 26,7:45 PM,2,6
P-06,P-07,POWER,Sep 11 26,8:30 PM,2,2
P-04,P-03,POWER,Sep 11 26,7:00 PM,3,8
P-03,P-08,POWER,Sep 11 26,7:45 PM,3,4
P-04,P-08,POWER,Sep 11 26,8:30 PM,3,3
P-05,P-01,POWER,Sep 11 26,9:15 PM,3,9
P-01,P-09,POWER,Sep 11 26,10:00 PM,3,5
P-05,P-09,POWER,Sep 11 26,10:45 PM,3,1
A-02,A-07,ADVANCED,Sep 11 26,7:00 PM,1,6
A-07,A-06,ADVANCED,Sep 11 26,7:45 PM,1,2
A-02,A-06,ADVANCED,Sep 11 26,8:30 PM,1,7
A-11,A-16,ADVANCED,Sep 11 26,9:15 PM,1,15
A-16,A-15,ADVANCED,Sep 11 26,10:00 PM,1,11
A-11,A-15,ADVANCED,Sep 11 26,10:45 PM,1,16
S-02,S-07,SKILLED,Sep 11 26,7:00 PM,5,6
S-07,S-06,SKILLED,Sep 11 26,7:45 PM,5,2
S-02,S-06,SKILLED,Sep 11 26,8:30 PM,5,7
S-11,S-16,SKILLED,Sep 11 26,9:15 PM,5,15
S-16,S-15,SKILLED,Sep 11 26,10:00 PM,5,11
S-11,S-15,SKILLED,Sep 11 26,10:45 PM,5,16
S-01,S-05,SKILLED,Sep 11 26,7:00 PM,6,9
S-05,S-09,SKILLED,Sep 11 26,7:45 PM,6,1
S-01,S-09,SKILLED,Sep 11 26,8:30 PM,6,5
S-12,S-13,SKILLED,Sep 11 26,9:15 PM,6,17
S-13,S-17,SKILLED,Sep 11 26,10:00 PM,6,12
S-12,S-17,SKILLED,Sep 11 26,10:45 PM,6,13
A-01,A-05,ADVANCED,Sep 11 26,7:00 PM,7,9
A-05,A-09,ADVANCED,Sep 11 26,7:45 PM,7,1
A-01,A-09,ADVANCED,Sep 11 26,8:30 PM,7,5
A-12,A-13,ADVANCED,Sep 11 26,9:15 PM,7,17
A-13,A-17,ADVANCED,Sep 11 26,10:00 PM,7,12
A-12,A-17,ADVANCED,Sep 11 26,10:45 PM,7,13
A-04,A-03,ADVANCED,Sep 11 26,7:00 PM,8,8
A-03,A-08,ADVANCED,Sep 11 26,7:45 PM,8,4
A-04,A-08,ADVANCED,Sep 11 26,8:30 PM,8,3
A-14,A-10,ADVANCED,Sep 11 26,9:15 PM,8,18
A-10,A-18,ADVANCED,Sep 11 26,10:00 PM,8,14
A-14,A-18,ADVANCED,Sep 11 26,10:45 PM,8,10
C-02,C-07,COMPETITIVE,Sep 11 26,7:00 PM,9,6
C-07,C-06,COMPETITIVE,Sep 11 26,7:45 PM,9,2
C-02,C-06,COMPETITIVE,Sep 11 26,8:30 PM,9,7
C-11,C-16,COMPETITIVE,Sep 11 26,9:15 PM,9,15
C-16,C-15,COMPETITIVE,Sep 11 26,10:00 PM,9,11
C-11,C-15,COMPETITIVE,Sep 11 26,10:45 PM,9,16
C-01,C-05,COMPETITIVE,Sep 11 26,7:00 PM,10,9
C-05,C-09,COMPETITIVE,Sep 11 26,7:45 PM,10,1
C-01,C-09,COMPETITIVE,Sep 11 26,8:30 PM,10,5
C-12,C-13,COMPETITIVE,Sep 11 26,9:15 PM,10,17
C-13,C-17,COMPETITIVE,Sep 11 26,10:00 PM,10,12
